Restaurant ID,Restaurant Name,City,Locality,Cuisines,Aggregate rating,Votes,Price range,Average Cost for two,Has Table booking,Has Online delivery,content_features
7300483,Zaz�� Bistr�� Tropical,Rio de Janeiro,Ipanema,Brazilian,4.6,21,4,170,No,No,Brazilian RiodeJaneiro Ipanema Price4 TableBooking_No Delivery_No
7301064,Fil�� de Ouro,Rio de Janeiro,Lagoa,Brazilian,4.3,14,3,90,No,No,Brazilian RiodeJaneiro Lagoa Price3 TableBooking_No Delivery_No
7304312,D.O.C Ristorante,Rio de Janeiro,"Le Monde, Barra da Tijuca",Italian,4.0,5,4,150,No,No,"Italian RiodeJaneiro LeMonde,BarradaTijuca Price4 TableBooking_No Delivery_No"
7300004,Sushi Leblon,Rio de Janeiro,Leblon,Japanese,4.6,25,4,250,No,No,Japanese RiodeJaneiro Leblon Price4 TableBooking_No Delivery_No
7300868,Talho Capixaba,Rio de Janeiro,Leblon,"Bakery, Sandwich, Brazilian",4.4,13,4,120,No,No,Bakery  Sandwich  Brazilian RiodeJaneiro Leblon Price4 TableBooking_No Delivery_No
7302637,Leme Light,Rio de Janeiro,Leme,Brazilian,4.2,7,2,40,No,No,Brazilian RiodeJaneiro Leme Price2 TableBooking_No Delivery_No
7302140,Shirley,Rio de Janeiro,Leme,"Brazilian, Seafood",4.2,8,4,250,No,No,Brazilian  Seafood RiodeJaneiro Leme Price4 TableBooking_No Delivery_No
7305048,Quiosque Chopp Brahma,Rio de Janeiro,Madureira,"Bar Food, Brazilian",0.0,1,3,70,No,No,Bar Food  Brazilian RiodeJaneiro Madureira Price3 TableBooking_No Delivery_No
7302898,Apraz�_vel,Rio de Janeiro,Santa Teresa,Brazilian,4.7,44,4,300,No,No,Brazilian RiodeJaneiro SantaTeresa Price4 TableBooking_No Delivery_No
7302859,Aconchego Carioca,Rio de Janeiro,Tijuca,"Brazilian, Bar Food",4.6,24,3,85,No,No,Brazilian  Bar Food RiodeJaneiro Tijuca Price3 TableBooking_No Delivery_No
7301700,Garota de Ipanema,Rio de Janeiro,Urca,"Brazilian, Bar Food",4.3,10,3,80,No,No,Brazilian  Bar Food RiodeJaneiro Urca Price3 TableBooking_No Delivery_No
6706313,Cantina Famiglia Mancini,S��o Paulo,"Bela Vista, Centro","Italian, Pizza",4.5,49,4,250,No,No,"Italian  Pizza S��oPaulo BelaVista,Centro Price4 TableBooking_No Delivery_No"
6704326,Templo da Carne - Marcos Bassi,S��o Paulo,"Bela Vista, Centro","Steak, BBQ",4.4,17,4,250,No,No,"Steak  BBQ S��oPaulo BelaVista,Centro Price4 TableBooking_No Delivery_No"
6711179,Gopala Hari,S��o Paulo,Consola�_��o,Indian,3.1,5,3,70,No,No,Indian S��oPaulo Consola�_��o Price3 TableBooking_No Delivery_No
6702797,Jiquitaia,S��o Paulo,Consola�_��o,Brazilian,4.1,15,4,100,No,No,Brazilian S��oPaulo Consola�_��o Price4 TableBooking_No Delivery_No
6700475,Skye - Hotel Unique,S��o Paulo,"Hotel Unique, Jardim Paulista","Beverages, International",4.8,59,4,300,No,No,"Beverages  International S��oPaulo HotelUnique,JardimPaulista Price4 TableBooking_No Delivery_No"
6713413,Les 3 Brasseurs,S��o Paulo,Itaim Bibi,"French, Brazilian, Beverages",4.6,30,4,120,No,No,French  Brazilian  Beverages S��oPaulo ItaimBibi Price4 TableBooking_No Delivery_No
6714340,Red Steak & Burger,S��o Paulo,Itaim Bibi,"Brazilian, Grill",3.9,5,3,75,No,No,Brazilian  Grill S��oPaulo ItaimBibi Price3 TableBooking_No Delivery_No
6710645,Cantinho da Gula,S��o Paulo,Itaim Bibi,Brazilian,0.0,0,2,55,No,No,Brazilian S��oPaulo ItaimBibi Price2 TableBooking_No Delivery_No
6700402,Paris 6 Classique,S��o Paulo,Jardim Paulista,French,3.4,73,4,200,No,No,French S��oPaulo JardimPaulista Price4 TableBooking_No Delivery_No
6700846,Kawa Sushi,S��o Paulo,Jardim Paulista,"Sushi, Japanese",3.5,9,4,120,No,No,Sushi  Japanese S��oPaulo JardimPaulista Price4 TableBooking_No Delivery_No
6702159,A Figueira Rubaiyat,S��o Paulo,Jardim Paulista,"BBQ, Grill, Brazilian",4.3,39,4,300,No,No,BBQ  Grill  Brazilian S��oPaulo JardimPaulista Price4 TableBooking_No Delivery_No
6711666,Kinoshita,S��o Paulo,Moema,Sushi,3.9,12,4,230,No,No,Sushi S��oPaulo Moema Price4 TableBooking_No Delivery_No
6701257,Meats,S��o Paulo,Pinheiros,"Gourmet Fast Food, Burger",4.3,68,4,120,No,No,Gourmet Fast Food  Burger S��oPaulo Pinheiros Price4 TableBooking_No Delivery_No
6706211,Paribar,S��o Paulo,Rep�_blica,"Brazilian, Italian",4.3,46,4,150,No,No,Brazilian  Italian S��oPaulo Rep�_blica Price4 TableBooking_No Delivery_No
6705858,Terra�_o It��lia,S��o Paulo,Rep�_blica,Italian,4.4,37,4,400,No,No,Italian S��oPaulo Rep�_blica Price4 TableBooking_No Delivery_No
6701419,Divino Fog��o,S��o Paulo,"Shopping Metr�� Santa Cruz, Vila Mariana","Brazilian, Mineira",0.0,2,3,65,No,No,"Brazilian  Mineira S��oPaulo ShoppingMetr��SantaCruz,VilaMariana Price3 TableBooking_No Delivery_No"
6703956,Super Grill,S��o Paulo,"Shopping Morumbi, Santo Amaro",Brazilian,0.0,2,2,50,No,No,"Brazilian S��oPaulo ShoppingMorumbi,SantoAmaro Price2 TableBooking_No Delivery_No"
6709580,Esquina Mocot�_,S��o Paulo,Vila Maria,"Brazilian, North Eastern",4.4,22,4,100,No,No,Brazilian  North Eastern S��oPaulo VilaMaria Price4 TableBooking_No Delivery_No
6703176,Veloso,S��o Paulo,Vila Mariana,"Brazilian, Bar Food, Beverages",4.6,58,3,70,No,No,Brazilian  Bar Food  Beverages S��oPaulo VilaMariana Price3 TableBooking_No Delivery_No
6713772,Sainte Marie Gastronomia,S��o Paulo,Vila S��nia,"Lebanese, Arabian",4.1,11,4,120,No,No,Lebanese  Arabian S��oPaulo VilaS��nia Price4 TableBooking_No Delivery_No
17284404,Austin's BBQ and Oyster Bar,Albany,Albany,"BBQ, Burger, Seafood",3.3,35,2,25,No,No,BBQ  Burger  Seafood Albany Albany Price2 TableBooking_No Delivery_No
17284203,BJ's Country Buffet,Albany,Albany,"American, BBQ",3.3,25,1,10,No,No,American  BBQ Albany Albany Price1 TableBooking_No Delivery_No
17284105,Cookie Shoppe,Albany,Albany,Unknown,3.4,34,1,0,No,No,Unknown Albany Albany Price1 TableBooking_No Delivery_No
17284302,El Vaquero Mexican Restaurant,Albany,Albany,Mexican,3.4,45,1,0,No,No,Mexican Albany Albany Price1 TableBooking_No Delivery_No
17284397,Elements Coffee Co - Northwest,Albany,Albany,"Coffee and Tea, Sandwich",3.4,26,1,10,No,No,Coffee and Tea  Sandwich Albany Albany Price1 TableBooking_No Delivery_No
17284211,Pearly's Famous Country Cookng,Albany,Albany,Unknown,3.4,36,1,0,No,No,Unknown Albany Albany Price1 TableBooking_No Delivery_No
17284094,Chick-fil-A,Albany,Albany,Fast Food,3.5,67,1,10,No,No,Fast Food Albany Albany Price1 TableBooking_No Delivery_No
17284409,Guang Zhou Chinese Restaurant,Albany,Albany,"Asian, Chinese, Vegetarian",3.9,141,1,10,No,No,Asian  Chinese  Vegetarian Albany Albany Price1 TableBooking_No Delivery_No
17284139,Harvest Moon,Albany,Albany,"Pizza, Bar Food, Sandwich",3.7,147,2,25,No,No,Pizza  Bar Food  Sandwich Albany Albany Price2 TableBooking_No Delivery_No
17284403,Henry Campbell's Steakhouse,Albany,Albany,"Steak, Tapas, Bar Food",3.5,51,4,70,No,No,Steak  Tapas  Bar Food Albany Albany Price4 TableBooking_No Delivery_No
17284145,Hong Kong Cafe,Albany,Albany,"Chinese, Seafood, Vegetarian",3.6,88,2,25,No,No,Chinese  Seafood  Vegetarian Albany Albany Price2 TableBooking_No Delivery_No
17284150,House of China Restaurant II,Albany,Albany,Chinese,3.8,153,1,10,No,No,Chinese Albany Albany Price1 TableBooking_No Delivery_No
17284158,Jimmie's Hot Dogs,Albany,Albany,Unknown,3.9,160,1,10,No,No,Unknown Albany Albany Price1 TableBooking_No Delivery_No
17284175,Locos Grill & Pub,Albany,Albany,"American, Burger, Sandwich",3.5,57,2,25,No,No,American  Burger  Sandwich Albany Albany Price2 TableBooking_No Delivery_No
17284179,Longhorn Steakhouse,Albany,Albany,"American, Steak",3.5,58,2,25,No,No,American  Steak Albany Albany Price2 TableBooking_No Delivery_No
17284197,Mikata Japanese Steakhouse,Albany,Albany,"Japanese, Steak, Sushi",3.6,115,3,40,No,No,Japanese  Steak  Sushi Albany Albany Price3 TableBooking_No Delivery_No
17284241,Shogun Japanese Steak House,Albany,Albany,"Japanese, Steak, Sushi",3.5,51,3,40,No,No,Japanese  Steak  Sushi Albany Albany Price3 TableBooking_No Delivery_No
17284390,The Catch Seafood Room & Oyster Bar,Albany,Albany,"Seafood, Tapas, Bar Food",3.8,250,3,40,No,No,Seafood  Tapas  Bar Food Albany Albany Price3 TableBooking_No Delivery_No
17284279,Villa Gargano,Albany,Albany,"Italian, Pizza",3.7,117,1,10,No,No,Italian  Pizza Albany Albany Price1 TableBooking_No Delivery_No
17284364,3 Squares Diner,Albany,Sylvester,"American, Breakfast, Diner",3.4,20,1,10,No,No,American  Breakfast  Diner Albany Sylvester Price1 TableBooking_No Delivery_No
16611114,Whitebull Hotel,Armidale,Armidale,"Bar Food, Steak",3.5,25,2,20,No,No,Bar Food  Steak Armidale Armidale Price2 TableBooking_No Delivery_No
17293281,Last Resort Grill,Athens,Athens,"American, Southern, Southwestern",4.5,1821,3,40,No,No,American  Southern  Southwestern Athens Athens Price3 TableBooking_No Delivery_No
17293301,Mama's Boy Restaurant,Athens,Athens,Southern,4.5,849,1,10,No,No,Southern Athens Athens Price1 TableBooking_No Delivery_No
17293409,Sr. Sol 1,Athens,Athens,Mexican,4.6,917,1,10,No,No,Mexican Athens Athens Price1 TableBooking_No Delivery_No
17293163,Choo Choo Eastside,Athens,Athens,"Japanese, Korean",3.9,439,1,10,No,No,Japanese  Korean Athens Athens Price1 TableBooking_No Delivery_No
17293228,The Grill,Athens,Athens,"Breakfast, Burger, Sandwich",3.7,289,1,10,No,No,Breakfast  Burger  Sandwich Athens Athens Price1 TableBooking_No Delivery_No
17293880,Big City Bread Cafe,Athens,Athens,"Breakfast, Sandwich",4.3,558,1,10,No,No,Breakfast  Sandwich Athens Athens Price1 TableBooking_No Delivery_No
17293169,Clocked,Athens,Athens,"American, Burger, Sandwich",4.2,613,1,10,No,No,American  Burger  Sandwich Athens Athens Price1 TableBooking_No Delivery_No
17293186,DePalma's Italian Cafe - Downtown,Athens,Athens,"American, Italian, Pizza",4.0,353,2,25,No,No,American  Italian  Pizza Athens Athens Price2 TableBooking_No Delivery_No
17293180,DePalma's Italian Cafe - East Side,Athens,Athens,"American, Italian, Pizza",4.1,387,2,25,No,No,American  Italian  Pizza Athens Athens Price2 TableBooking_No Delivery_No
17293205,Five & Ten,Athens,Athens,American,4.3,755,3,40,No,No,American Athens Athens Price3 TableBooking_No Delivery_No
17293229,Grit,Athens,Athens,"International, Southern, Vegetarian",4.2,800,1,10,No,No,International  Southern  Vegetarian Athens Athens Price1 TableBooking_No Delivery_No
17293897,Ike & Jane,Athens,Athens,Sandwich,4.1,350,1,10,No,No,Sandwich Athens Athens Price1 TableBooking_No Delivery_No
17293273,La Dolce Vita Ristorante,Athens,Athens,Italian,4.1,464,3,40,No,No,Italian Athens Athens Price3 TableBooking_No Delivery_No
17293870,Shokitini,Athens,Athens,"Asian, Japanese, Sushi",4.2,550,2,25,No,No,Asian  Japanese  Sushi Athens Athens Price2 TableBooking_No Delivery_No
17293877,Taqueria Del Sol,Athens,Athens,"Mexican, Spanish",4.1,543,1,10,No,No,Mexican  Spanish Athens Athens Price1 TableBooking_No Delivery_No
17293890,The National,Athens,Athens,"International, Southern",4.1,465,3,40,No,No,International  Southern Athens Athens Price3 TableBooking_No Delivery_No
17293915,The Royal Peasant,Athens,Athens,Bar Food,4.4,546,1,10,No,No,Bar Food Athens Athens Price1 TableBooking_No Delivery_No
17293422,Transmetropolitan,Athens,Athens,"Italian, Pizza, Sandwich",4.4,1098,1,10,No,No,Italian  Pizza  Sandwich Athens Athens Price1 TableBooking_No Delivery_No
17293873,Trappeze Pub,Athens,Athens,"Burger, Bar Food",4.2,579,2,25,No,No,Burger  Bar Food Athens Athens Price2 TableBooking_No Delivery_No
17294014,Viva! Argentine Cuisine,Athens,Athens,"Desserts, Latin American, Argentine",4.1,374,1,10,No,No,Desserts  Latin American  Argentine Athens Athens Price1 TableBooking_No Delivery_No
17294556,Miyabi Kyoto Japanese Steak House,Augusta,Augusta,"Chinese, Steak",4.6,717,3,40,No,No,Chinese  Steak Augusta Augusta Price3 TableBooking_No Delivery_No
17294607,Rae's Coastal Cafe,Augusta,Augusta,"American, Caribbean, Seafood",4.9,548,3,40,No,No,American  Caribbean  Seafood Augusta Augusta Price3 TableBooking_No Delivery_No
17294279,The Bee's Knees,Augusta,Augusta,"International, Tapas, Vegetarian",4.5,631,2,25,No,No,International  Tapas  Vegetarian Augusta Augusta Price2 TableBooking_No Delivery_No
17294300,Boll Weevil Cafe,Augusta,Augusta,"Desserts, Sandwich, Southern",3.9,372,1,10,No,No,Desserts  Sandwich  Southern Augusta Augusta Price1 TableBooking_No Delivery_No
17295215,Farmhaus Burger,Augusta,Augusta,"American, Burger",3.9,201,2,25,No,No,American  Burger Augusta Augusta Price2 TableBooking_No Delivery_No
17295028,Manuel's Bread Cafe,Augusta,Augusta,"Breakfast, French",3.8,332,3,40,No,No,Breakfast  French Augusta Augusta Price3 TableBooking_No Delivery_No
17294642,Sconyers Bar B Que,Augusta,Augusta,BBQ,3.5,304,2,25,No,No,BBQ Augusta Augusta Price2 TableBooking_No Delivery_No
17295109,Frog Hollow Tavern,Augusta,Augusta,American,4.3,368,3,40,No,No,American Augusta Augusta Price3 TableBooking_No Delivery_No
17294441,Giuseppe's Pizza & Italian Specialities,Augusta,Augusta,"Desserts, Italian, Pizza",4.1,430,2,25,No,No,Desserts  Italian  Pizza Augusta Augusta Price2 TableBooking_No Delivery_No
17294552,Mellow Mushroom,Augusta,Augusta,"Italian, Pizza, Sandwich",4.4,433,2,25,No,No,Italian  Pizza  Sandwich Augusta Augusta Price2 TableBooking_No Delivery_No
17294565,Nacho Mamas Burritos,Augusta,Augusta,Mexican,4.0,380,1,10,No,No,Mexican Augusta Augusta Price1 TableBooking_No Delivery_No
17294623,Rhinehart's Oyster Bar,Augusta,Augusta,"Bar Food, Sandwich, Seafood",4.0,456,2,25,No,No,Bar Food  Sandwich  Seafood Augusta Augusta Price2 TableBooking_No Delivery_No
17294712,Takosushi,Augusta,Augusta,"Mexican, Southwestern, Sushi",4.2,647,3,40,No,No,Mexican  Southwestern  Sushi Augusta Augusta Price3 TableBooking_No Delivery_No
17295033,The Chop House,Augusta,Augusta,Steak,4.0,360,3,40,No,No,Steak Augusta Augusta Price3 TableBooking_No Delivery_No
17295069,The Taj of India,Augusta,Augusta,Indian,4.0,227,2,25,No,No,Indian Augusta Augusta Price2 TableBooking_No Delivery_No
17294261,Augsburg Haus,Augusta,Evans,German,3.9,290,2,25,No,No,German Augusta Evans Price2 TableBooking_No Delivery_No
17295115,Pho Bac,Augusta,Evans,Vietnamese,4.1,270,1,10,No,No,Vietnamese Augusta Evans Price1 TableBooking_No Delivery_No
17294836,Rhinehart's Oyster Bar,Augusta,Evans,"Burger, Seafood",4.0,326,2,25,No,No,Burger  Seafood Augusta Evans Price2 TableBooking_No Delivery_No
17294850,Thai Kitchen,Augusta,Evans,Thai,4.3,317,3,35,No,No,Thai Augusta Evans Price3 TableBooking_No Delivery_No
17294883,El Kiosco Mexican Restaurant,Augusta,Grovetown,Mexican,4.2,300,1,10,No,No,Mexican Augusta Grovetown Price1 TableBooking_No Delivery_No
16608864,Taste of Balingup,Balingup,Balingup,Modern Australian,3.2,21,2,20,No,No,Modern Australian Balingup Balingup Price2 TableBooking_No Delivery_No
16604911,Bridge Road Brewers,Beechworth,Beechworth,"Pizza, Bar Food",4.6,237,2,20,No,No,Pizza  Bar Food Beechworth Beechworth Price2 TableBooking_No Delivery_No
17303465,Bardenay,Boise,Boise,"American, Bar Food",4.5,879,2,25,No,No,American  Bar Food Boise Boise Price2 TableBooking_No Delivery_No
17303642,Flatbread Neapolitan Pizzeria,Boise,Boise,"Italian, Pizza",4.6,615,2,25,No,No,Italian  Pizza Boise Boise Price2 TableBooking_No Delivery_No
17303670,Goldy's Breakfast Bistro,Boise,Boise,"Breakfast, Sandwich",4.5,879,2,25,No,No,Breakfast  Sandwich Boise Boise Price2 TableBooking_No Delivery_No
17303545,Chandlers Steakhouse,Boise,Boise,"American, Seafood, Steak",3.9,379,4,70,No,No,American  Seafood  Steak Boise Boise Price4 TableBooking_No Delivery_No
